	Status
	[action_ops_finance.19] Operations & Finance | Receive funding that requires you to measure and achieve outcomes [PLANNING for next 12 mos.]
	[action_ops_finance.20] Operations & Finance | None of the above [TAKEN in past 12 mos.]
	[action_ops_finance.20] Operations & Finance | None of the above [PLANNING for next 12 mos.]
	[action_staff.0] Personnel/Human Capital | Hire staff for new positions [TAKEN in past 12 mos.]
	[action_staff.0] Personnel/Human Capital | Hire staff for new positions [PLANNING for next 12 mos.]
	[action_staff.1] Personnel/Human Capital | Reduce staff [TAKEN in past 12 mos.]
	[action_staff.1] Personnel/Human Capital | Reduce staff [PLANNING for next 12 mos.]
	[action_staff.2] Personnel/Human Capital | Make replacement hires [TAKEN in past 12 mos.]
	[action_staff.2] Personnel/Human Capital | Make replacement hires [PLANNING for next 12 mos.]
	[action_staff.3] Personnel/Human Capital | Freeze all replacement hires [TAKEN in past 12 mos.]
	[action_staff.3] Personnel/Human Capital | Freeze all replacement hires [PLANNING for next 12 mos.]
	[action_staff.4] Personnel/Human Capital | Retain all existing personnel [TAKEN in past 12 mos.]
	[action_staff.4] Personnel/Human Capital | Retain all existing personnel [PLANNING for next 12 mos.]
	[action_staff.5] Personnel/Human Capital | Rely more on volunteers [TAKEN in past 12 mos.]
	[action_staff.5] Personnel/Human Capital | Rely more on volunteers [PLANNING for next 12 mos.]
	"[action_staff.6] Personnel/Human Capital | Reduce staff hours (short weeks, furloughs, etc.) [TAKEN in past 12 mos.]"
	"[action_staff.6] Personnel/Human Capital | Reduce staff hours (short weeks, furloughs, etc.) [PLANNING for next 12 mos.]"
	[action_staff.7] Personnel/Human Capital | Engage more closely with your board through more frequent reports and meetings [TAKEN in past 12 mos.]
	[action_staff.7] Personnel/Human Capital | Engage more closely with your board through more frequent reports and meetings [PLANNING for next 12 mos.]
	[action_staff.8] Personnel/Human Capital | Leadership succession planning [TAKEN in past 12 mos.]
	[action_staff.8] Personnel/Human Capital | Leadership succession planning [PLANNING for next 12 mos.]
	[action_staff.9] Personnel/Human Capital | Invest money or time in professional development for staff [TAKEN in past 12 mos.]
	[action_staff.9] Personnel/Human Capital | Invest money or time in professional development for staff [PLANNING for next 12 mos.]
	"[action_staff.10] Personnel/Human Capital | Give ""cost of living adjustment"" (COLA) salary increases to staff [TAKEN in past 12 mos.]"
	"[action_staff.10] Personnel/Human Capital | Give ""cost of living adjustment"" (COLA) salary increases to staff [PLANNING for next 12 mos.]"
	[action_staff.11] Personnel/Human Capital | Give raises beyond cost of living adjustment (COLA) [TAKEN in past 12 mos.]
	[action_staff.11] Personnel/Human Capital | Give raises beyond cost of living adjustment (COLA) [PLANNING for next 12 mos.]
	[action_staff.12] Personnel/Human Capital | Freeze or reduce salaries [TAKEN in past 12 mos.]
	[action_staff.12] Personnel/Human Capital | Freeze or reduce salaries [PLANNING for next 12 mos.]
	"[action_staff.13] Personnel/Human Capital | Spend more on staff benefits (e.g., health benefits) [TAKEN in past 12 mos.]"
	"[action_staff.13] Personnel/Human Capital | Spend more on staff benefits (e.g., health benefits) [PLANNING for next 12 mos.]"
	"[action_staff.14] Personnel/Human Capital | Spend less on staff benefits (e.g., health benefits) [TAKEN in past 12 mos.]"
	"[action_staff.14] Personnel/Human Capital | Spend less on staff benefits (e.g., health benefits) [PLANNING for next 12 mos.]"
	[action_staff.15] Personnel/Human Capital | None of the above [TAKEN in past 12 mos.]
	[action_staff.15] Personnel/Human Capital | None of the above [PLANNING for next 12 mos.]
	[arts_decline_revenue] Is your organization experiencing declines in revenue due to increased competition from any source?
arts_source_competition_movies	[arts_source_competition] Please select no more than 2 top sources of competition from any source. [Movie Theatres]
arts_source_competition_tv	[arts_source_competition] Please select no more than 2 top sources of competition from any source. [Television]
arts_source_competition_sports	[arts_source_competition] Please select no more than 2 top sources of competition from any source. [Sports & recreation]
arts_source_competition_newcult	[arts_source_competition] Please select no more than 2 top sources of competition from any source. [New culture organizations in your area]
arts_source_competition_freecult	[arts_source_competition] Please select no more than 2 top sources of competition from any source. [Free cultural alternatives in your area]
arts_source_competition_onlinecult	[arts_source_competition] Please select no more than 2 top sources of competition from any source. [Online cultural alternatives]
arts_source_competition_onlinecommunities	[arts_source_competition] Please select no more than 2 top sources of competition from any source. [Online communities]
arts_source_competition_videogames	[arts_source_competition] Please select no more than 2 top sources of competition from any source. [Video games]
arts_source_competition_dontknow	[arts_source_competition] Please select no more than 2 top sources of competition from any source. [Don't know]
arts_source_competition_other	"[arts_source_competition] Please select no more than 2 top sources of competition from any source. [Other, please specify...]"
arts_source_competition_othertext	"[arts_source_competition] Please select no more than 2 top sources of competition from any source. [Other, please specify...] [text]"
gov_payment_sources_fed	[gov_payment_sources] Do you have funding or contracts from any of the following government sources? Select all that apply:* [Federal government]
gov_payment_sources_state	[gov_payment_sources] Do you have funding or contracts from any of the following government sources? Select all that apply:* [State government]
gov_payment_sources_local	[gov_payment_sources] Do you have funding or contracts from any of the following government sources? Select all that apply:* [Local government]
gov_payment_sources_none	[gov_payment_sources] Do you have funding or contracts from any of the following government sources? Select all that apply:* [None of the above]
funding_gov_days_late	[gov_delay.0] How many days after submitting an invoice do you usually receive payment from government for services? | Federal Government
funding_gov_state_days_late	[gov_delay.1] How many days after submitting an invoice do you usually receive payment from government for services? | State Government
funding_gov_loc_days_late	[gov_delay.2] How many days after submitting an invoice do you usually receive payment from government for services? | Local Government
funding_all_gov_delay_resp	"[gov_delay_response] If you experience delays in payments from government, how does your organization primarily cover the gap? Please select no more than 3 actions you take to manage delays. [Use reserves]"
funding_all_gov_delay_vendors	"[gov_delay_response] If you experience delays in payments from government, how does your organization primarily cover the gap? Please select no more than 3 actions you take to manage delays. [Delay payments to vendors and/or creditors]"
funding_all_gov_delay_board_loan	"[gov_delay_response] If you experience delays in payments from government, how does your organization primarily cover the gap? Please select no more than 3 actions you take to manage delays. [Borrow from personal funds of our leadership or board]"
funding_all_gov_delay_partner_loan	"[gov_delay_response] If you experience delays in payments from government, how does your organization primarily cover the gap? Please select no more than 3 actions you take to manage delays. [Borrow from partner or parent organization]"
funding_all_gov_delay_loc	"[gov_delay_response] If you experience delays in payments from government, how does your organization primarily cover the gap? Please select no more than 3 actions you take to manage delays. [Rely on a loan, line of credit, or other type of debt]"
funding_all_gov_delay_red_serv	"[gov_delay_response] If you experience delays in payments from government, how does your organization primarily cover the gap? Please select no more than 3 actions you take to manage delays. [Reduce services]"
funding_all_gov_delay_red_staff	"[gov_delay_response] If you experience delays in payments from government, how does your organization primarily cover the gap? Please select no more than 3 actions you take to manage delays. [Downsize staff-related costs]"
funding_all_gov_delay_red_opp_cost	"[gov_delay_response] If you experience delays in payments from government, how does your organization primarily cover the gap? Please select no more than 3 actions you take to manage delays. [Downsize non-staff-related operating costs (e.g., rent, office supplies)]"
funding_all_gov_delay_emergency_grant	"[gov_delay_response] If you experience delays in payments from government, how does your organization primarily cover the gap? Please select no more than 3 actions you take to manage delays. [Ask for emergency grant or pull from other program funding]"
funding_all_gov_delay_ready	"[gov_delay_response] If you experience delays in payments from government, how does your organization primarily cover the gap? Please select no more than 3 actions you take to manage delays. [We budget for delays in advance]"
funding_all_gov_delay_payroll	"[gov_delay_response] If you experience delays in payments from government, how does your organization primarily cover the gap? Please select no more than 3 actions you take to manage delays. [Delay payroll for all or part of the staff]"
funding_all_gov_delay_reserves	"[gov_delay_response] If you experience delays in payments from government, how does your organization primarily cover the gap? Please select no more than 3 actions you take to manage delays. [Use other unrestricted or earned income]"
funding_all_gov_delay_na	"[gov_delay_response] If you experience delays in payments from government, how does your organization primarily cover the gap? Please select no more than 3 actions you take to manage delays. [Not applicable]"
funding_all_gov_delay_other_yn	"[gov_delay_response] If you experience delays in payments from government, how does your organization primarily cover the gap? Please select no more than 3 actions you take to manage delays. [Other, please specify...]"
funding_all_gov_delay_other_text	"[gov_delay_response] If you experience delays in payments from government, how does your organization primarily cover the gap? Please select no more than 3 actions you take to manage delays. [Other, please specify...] [text]"
aicr_fed_range	"[avg_icr.0] In 2014, what was the average indirect cost rate (i.e., allowable indirect cost rate or overhead/administrative cost rate) that government paid? | Federal Government"
aicr_state_range	"[avg_icr.1] In 2014, what was the average indirect cost rate (i.e., allowable indirect cost rate or overhead/administrative cost rate) that government paid? | State Government"
aicr_loc_range	"[avg_icr.2] In 2014, what was the average indirect cost rate (i.e., allowable indirect cost rate or overhead/administrative cost rate) that government paid? | Local Government"
aicr_fed_trend	"[gov_aicr_trend.0] ""In the last 3 years, the amount of government funding/contracts as a percentage of my nonprofit's total revenue has..."" | Federal Government"
aicr_state_trend	"[gov_aicr_trend.1] ""In the last 3 years, the amount of government funding/contracts as a percentage of my nonprofit's total revenue has..."" | State Government"
aicr_loc_trend	"[gov_aicr_trend.2] ""In the last 3 years, the amount of government funding/contracts as a percentage of my nonprofit's total revenue has..."" | Local Government"
plan_replace_gov_funding_fed	[gov_fund_trend.0] Is your organization planning to replace any type of government funding with revenue from non-governmental sources? | Federal Government
plan_replace_gov_funding_state	[gov_fund_trend.1] Is your organization planning to replace any type of government funding with revenue from non-governmental sources? | State Government
plan_replace_gov_funding_loc	[gov_fund_trend.2] Is your organization planning to replace any type of government funding with revenue from non-governmental sources? | Local Government
	[metrics_collection.0] My organization... | Has a theory of change or logic model
	"[metrics_collection.1] My organization... | Collects output data: measures of program productivity, such as # of clients or size of audience "
	[metrics_collection.2] My organization... | Collects outcomes data: measures of how our services improve the lives of our clients or audience members
	[metrics_collection.3] My organization... | Has staff dedicated or partially dedicated to collecting and analyzing outputs and outcomes data
	[metrics_collection.4] My organization... | Uses outputs and outcomes data to inform strategic and programmatic decision-making
funders_want_metrics_in_reports	[metrics_funders.0] Approximately how many of your funders pursue the practices below? Please give your best estimate: | Ask us to include output or outcomes data in our reports to them
funders_ask_for_metrics	[metrics_funders.1] Approximately how many of your funders pursue the practices below? Please give your best estimate: | Ask for output or outcomes data to assess the effectiveness of our programs
funders_demand_metrics_goals_output	[metrics_funders.2] Approximately how many of your funders pursue the practices below? Please give your best estimate: | Provide funding that is contingent on our organization achieving specific outputs
funders_demand_metrics_goals_outcome	[metrics_funders.3] Approximately how many of your funders pursue the practices below? Please give your best estimate: | Provide funding that is contingent on our organization achieving specific outcomes
impact_funder_cost	[impact_funding] How often do funders cover the costs associated with measuring program outputs or outcomes?
	"[impact_funder_request] In 2014, the number of funders asking us to measure or provide program outputs or outcomes..."
dialog_exp_prog	"[funder_dialogue] Overall, do you feel the majority of your funders are willing to engage in open dialogue on funding for any of the purposes below? Please select all that apply: [Expanding programs]"
dialog_new_facility	"[funder_dialogue] Overall, do you feel the majority of your funders are willing to engage in open dialogue on funding for any of the purposes below? Please select all that apply: [Acquiring or renovating a facility]"
dialog_op_reserve	"[funder_dialogue] Overall, do you feel the majority of your funders are willing to engage in open dialogue on funding for any of the purposes below? Please select all that apply: [Developing reserves for operating needs (money for a rainy day)]"
dialog_facility_needs	"[funder_dialogue] Overall, do you feel the majority of your funders are willing to engage in open dialogue on funding for any of the purposes below? Please select all that apply: [Developing reserves for long-term facility or fixed asset needs]"
dialog_working_cash_flow	"[funder_dialogue] Overall, do you feel the majority of your funders are willing to engage in open dialogue on funding for any of the purposes below? Please select all that apply: [Working capital (cash flow needs)]"
dialog_change_capital	"[funder_dialogue] Overall, do you feel the majority of your funders are willing to engage in open dialogue on funding for any of the purposes below? Please select all that apply: [Flexible capital for organizational change/growth (including impact investing products)]"
dialog_pay_off_loans	"[funder_dialogue] Overall, do you feel the majority of your funders are willing to engage in open dialogue on funding for any of the purposes below? Please select all that apply: [Paying off loans]"
dialog_gos	"[funder_dialogue] Overall, do you feel the majority of your funders are willing to engage in open dialogue on funding for any of the purposes below? Please select all that apply: [General operating support]"
dialog_multi_year	"[funder_dialogue] Overall, do you feel the majority of your funders are willing to engage in open dialogue on funding for any of the purposes below? Please select all that apply: [Multi-year funding]"
dialog_orgadapt	"[funder_dialogue] Overall, do you feel the majority of your funders are willing to engage in open dialogue on funding for any of the purposes below? Please select all that apply: [Organizational change or adaptation]"
dialog_measureoutcome	"[funder_dialogue] Overall, do you feel the majority of your funders are willing to engage in open dialogue on funding for any of the purposes below? Please select all that apply: [Measuring program outcomes]"
dialog_none	"[funder_dialogue] Overall, do you feel the majority of your funders are willing to engage in open dialogue on funding for any of the purposes below? Please select all that apply: [I do not feel that my funders are willing to engage in open dialogue about these topics]"
dialog_other_yn	"[funder_dialogue] Overall, do you feel the majority of your funders are willing to engage in open dialogue on funding for any of the purposes below? Please select all that apply: [Other financial or operational issues]"
	"[funder_dialogue] Overall, do you feel the majority of your funders are willing to engage in open dialogue on funding for any of the purposes below? Please select all that apply: [Other financial or operational issues] [text]"
funding_fed_full_cost	"[funding_sources_full_cost.0] In 2014, how often did funding from the following sources cover the full costs (including indirect/overhead costs) of the program/project they intended to support?  | Federal government"
funding_state_full_cost	"[funding_sources_full_cost.1] In 2014, how often did funding from the following sources cover the full costs (including indirect/overhead costs) of the program/project they intended to support?  | State government"
funding_loc_full_cost	"[funding_sources_full_cost.2] In 2014, how often did funding from the following sources cover the full costs (including indirect/overhead costs) of the program/project they intended to support?  | Local government"
funding_foundation_full_cost	"[funding_sources_full_cost.3] In 2014, how often did funding from the following sources cover the full costs (including indirect/overhead costs) of the program/project they intended to support?  | Foundations"
funding_individual_full_cost	"[funding_sources_full_cost.4] In 2014, how often did funding from the following sources cover the full costs (including indirect/overhead costs) of the program/project they intended to support?  | Individuals"
funding_vs_reporting_fed	[funding_reporting.0] Please describe the relationship between reporting requirements and funding amounts from the following sources:   | Federal government
funding_vs_reporting_state	[funding_reporting.1] Please describe the relationship between reporting requirements and funding amounts from the following sources:   | State government
funding_vs_reporting_local	[funding_reporting.2] Please describe the relationship between reporting requirements and funding amounts from the following sources:   | Local government
funding_vs_reporting_foundation	[funding_reporting.3] Please describe the relationship between reporting requirements and funding amounts from the following sources:   | Foundations
funding_vs_reporting_individual	[funding_reporting.4] Please describe the relationship between reporting requirements and funding amounts from the following sources:   | Individuals
arts_grants_open_dialog	"[arts_funder] In 2014, did your funders carry out any of the following practices? Please select all that apply: [Invite your nonprofit to discuss financial health and long-term financial needs]"
arts_grants_strategy_input	"[arts_funder] In 2014, did your funders carry out any of the following practices? Please select all that apply: [Invite your nonprofit to give input on a funder's strategy]"
arts_grants_non_monetary	"[arts_funder] In 2014, did your funders carry out any of the following practices? Please select all that apply: [Provide useful non-monetary resources or knowledge (e.g., convenings, referrals, advice)]"
arts_grants_streamline	"[arts_funder] In 2014, did your funders carry out any of the following practices? Please select all that apply: [Simplify the grant application and/or due diligence process]"
arts_grants_reporting_burden	"[arts_funder] In 2014, did your funders carry out any of the following practices? Please select all that apply: [Require reporting that was outsized relative to the size of the grant]"
arts_grants_overhead_restr	"[arts_funder] In 2014, did your funders carry out any of the following practices? Please select all that apply: [Restrict allowable overhead rate on grants]"
arts_grants_got_unrestr	"[arts_funder] In 2014, did your funders carry out any of the following practices? Please select all that apply: [Give unrestricted funding]"
arts_grants_help_change_habits	"[arts_funder] In 2014, did your funders carry out any of the following practices? Please select all that apply: [Give your organization capital to help change the way you raise or spend money]"
arts_grants_help_build_reserves	"[arts_funder] In 2014, did your funders carry out any of the following practices? Please select all that apply: [Give your organization capital to build reserves]"
arts_grants_surplus_bad	"[arts_funder] In 2014, did your funders carry out any of the following practices? Please select all that apply: [Deny your grant because your nonprofit had a surplus or savings]"
arts_grants_surplus_good	"[arts_funder] In 2014, did your funders carry out any of the following practices? Please select all that apply: [Approve your grant because your nonprofit had a surplus or savings]"
arts_grants_none	"[arts_funder] In 2014, did your funders carry out any of the following practices? Please select all that apply: [My funders did not carry out any of the aforementioned practices]"
	"[arts_funder] In 2014, did your funders carry out any of the following practices? Please select all that apply: [My funders did not carry out any of the aforementioned practices] [text]"
	"[qual_demand_services] What kinds of services are you seeing the greatest demand for, and what trends do you think are driving that demand?"
	[qual_org_challenge] Please tell us more about your organization's greatest challenge and the actions you are taking to respond to it.
	"[qual_policy_issue] Which government policy issues are affecting your organization the most, and how?"
	[receive_survey] How did you receive this survey? [Email directly from Nonprofit Finance Fund]
	[receive_survey] How did you receive this survey? [From a funder]
	[receive_survey] How did you receive this survey? [From someone at your organization]
	[receive_survey] How did you receive this survey? [From someone at another nonprofit]
	[receive_survey] How did you receive this survey? [Twitter]
	[receive_survey] How did you receive this survey? [Facebook]
	"[receive_survey] How did you receive this survey? [Other, please specify:]"
	"[receive_survey] How did you receive this survey? [Other, please specify:] [text]"
	"[contact_info.0] If you’re comfortable sharing it, please include your contact info so we can send you survey results directly. We will never share this information without your prior written permission, and we will never share your individual results. | Organization name (optional):"
	"[contact_info.1] If you’re comfortable sharing it, please include your contact info so we can send you survey results directly. We will never share this information without your prior written permission, and we will never share your individual results. | Your name (optional): "
	"[contact_info.2] If you’re comfortable sharing it, please include your contact info so we can send you survey results directly. We will never share this information without your prior written permission, and we will never share your individual results. | Your title (optional): "
	"[contact_info.3] If you’re comfortable sharing it, please include your contact info so we can send you survey results directly. We will never share this information without your prior written permission, and we will never share your individual results. | Email address (optional): "
